"Charlie Blackmon_COL","George Springer_HOU","Carlos Correa_HOU","Nolan Arenado_COL","Jose Altuve_HOU","Kris Bryant_CHC","Neil Walker_NYM","Michael Conforto_NYM","Mark Reynolds_COL","Anthony Rizzo_CHC","Corey Dickerson_TB","Marcell Ozuna_MIA","Marwin Gonzalez_HOU","Eduardo Nunez_SF","Miguel Sano_MIN","Ender Inciarte_ATL","Justin Bour_MIA","Starling Marte_PIT","Khris Davis_OAK","Yonder Alonso_OAK","Ryon Healy_OAK","Carlos Beltran_HOU","Mike Trout_LAA","Mike Moustakas_KC","Jay Bruce_NYM","Lucas Duda_NYM","Freddie Freeman_ATL","Yoenis Cespedes_NYM","Odubel Herrera_PHI","Andrew McCutchen_PIT","Logan Morrison_TB","Kyle Schwarber_CHC","Giancarlo Stanton_MIA","Josh Harrison_PIT","Kole Calhoun_LAA","Buster Posey_SF","JT Realmuto_MIA","Matt Adams_ATL","Ian Desmond_COL","DJ LeMahieu_COL","Dee Gordon_MIA","Whit Merrifield_KC","Hunter Renfroe_SD","David Dahl_COL","Stephen Piscotty_STL","Jedd Gyorko_STL","Christian Yelich_MIA","Jed Lowrie_OAK","Josh Reddick_HOU","Evan Gattis_HOU","Yuli Gurriel_HOU","Lorenzo Cain_KC","Max Kepler_MIN","David Wright_NYM","Ian Happ_CHC","Dexter Fowler_STL","David Freese_PIT","Josh Bell_PIT","Adam Frazier_PIT","Brian McCann_HOU","Jorge Bonifacio_KC","Tyler Flowers_ATL","Wilmer Flores_NYM","Carlos Gonzalez_COL","Javier Baez_CHC","Trevor Story_COL","Matt Carpenter_STL","Evan Longoria_TB","Steven Souza_TB","Kevin Kiermaier_TB","Cameron Maybin_LAA","Andrelton Simmons_LAA","Brandon Belt_SF","Brandon Phillips_ATL","Nick Markakis_ATL","Tommy Pham_STL","Randal Grichuk_STL","Matt Joyce_OAK","CJ Cron_LAA","Salvador Perez_KC","Eric Hosmer_KC","Jorge Soler_KC","Joe Mauer_MIN","Matt Kemp_ATL","Asdrubal Cabrera_NYM","Dansby Swanson_ATL","Gerardo Parra_COL","Yadier Molina_STL","Aledmys Diaz_STL","Martin Prado_MIA","Rajai Davis_OAK","Brad Miller_TB","Albert Pujols_LAA","Wil Myers_SD","Denard Span_SF","Robbie Grossman_MIN","Brian Dozier_MIN","Jordy Mercer_PIT","Travis d'Arnaud_NYM","Adonis Garcia_ATL","Jason Heyward_CHC","Derek Dietrich_MIA","Gregory Polanco_PIT","Colby Rasmus_TB","Wilson Ramos_TB","Jefry Marte_LAA","Cheslor Cuthbert_KC","Manuel Margot_SD","Hunter Pence_SF","Brandon Crawford_SF","Curtis Granderson_NYM","Pat Valaika_COL","Howie Kendrick_PHI","Aaron Altherr_PHI","Alen Hanson_PIT","Yunel Escobar_LAA","Danny Espinosa_LAA","Derek Fisher_HOU","Paulo Orlando_KC","Yangervis Solarte_SD","Billy Burns_KC","Alex Dickerson_SD","Austin Hedges_SD","Joe Panik_SF","Jose Reyes_NYM","Stephen Cardullo_COL","Raimel Tapia_COL","Albert Almora_CHC","Freddy Galvis_PHI","Tommy Joseph_PHI","John Jaso_PIT","Tim Beckham_TB","Marcus Semien_OAK","Mallex Smith_TB","Matt Duffy_TB","Ryan Schimpf_SD","Juan Lagares_NYM","Brandon Nimmo_NYM","Jace Peterson_ATL","TJ Rivera_NYM","Ben Zobrist_CHC","Jon Jay_CHC","Dustin Garneau_COL","Willson Contreras_CHC","Cesar Hernandez_PHI","Jose Osuna_PIT","JT Riddle_MIA","Derek Norris_TB","Brandon Moss_KC","Nick Hundley_SF","Jason Castro_MIN","Kennys Vargas_MIN","Jarrett Parker_SF","Christian Arroyo_SF","Danny Santana_ATL","Miguel Montero_CHC","Jeimer Candelario_CHC","Addison Russell_CHC","Tom Murphy_COL","Jhonny Peralta_STL","Kolten Wong_STL","Francisco Cervelli_PIT","Jake Marisnick_HOU","Travis Jankowski_SD","Jorge Polanco_MIN","Eddie Rosario_MIN","Tony Wolters_COL","Daniel Nava_PHI","Rhys Hoskins_PHI","Paul DeJong_STL","Harrison Bader_STL","Destin Hood_MIA","Danny Ortiz_PIT","Tyler Moore_MIA","Kevin Newman_PIT","Jake Bauers_TB","Alex Bregman_HOU","Matt Szczur_SD","Ryan O'Hearn_KC","Mac Williamson_SF","Kurt Suzuki_ATL","Micah Johnson_ATL","Gavin Cecchini_NYM","Alexi Amarista_COL","Tommy La Stella_CHC","Andrew Knapp_PHI","Ichiro Suzuki_MIA","Tomas Telis_MIA","Luis Valbuena_LAA","Norichika Aoki_HOU","Alex Gordon_KC","Chase d'Arnaud_SD","Terrance Gore_KC","Kelby Tomlinson_SF","Matt Reynolds_NYM","Kevin Plawecki_NYM","Rio Ruiz_ATL","Jose Martinez_STL","Maikel Franco_PHI","Christian Colon_MIA","Steve Lombardozzi_MIA","Elias Diaz_PIT","Adeiny Hechavarria_MIA","Peter Bourjos_TB","Ben Revere_LAA","Christian Bethancourt_SD","Amed Rosario_NYM","Ozhaino Albies_ATL","Michael Saunders_PHI","Greg Garcia_STL","Magneuris Sierra_STL","AJ Ellis_MIA","Phil Gosselin_PIT","Chris Bostick_PIT","Austin Meadows_PIT","Trevor Plouffe_OAK","Jake Smolinski_OAK","Stephen Vogt_OAK","Ryan LaMarre_OAK","Chad Pinder_OAK","JD Davis_HOU","Cory Spangenberg_SD","Allen Cordoba_SD","Aaron Hill_SF","Gorkys Hernandez_SF","Eduardo Escobar_MIN","Byron Buxton_MIN","Rene Rivera_NYM","Cristhian Adames_COL","Jordan Patterson_COL","Brendan Rodgers_COL","Carson Kelly_STL","JP Crawford_PHI","Mike Aviles_MIA","Rickie Weeks_TB","Josh Phegley_OAK","Mark Canha_OAK","Curt Casali_TB","Daniel Robertson_TB","Bruce Maxwell_OAK","Eric Young_LAA","Martin Maldonado_LAA","Nolan Fontana_LAA","Erick Aybar_SD","Franchy Cordero_SD","Raul Mondesi_KC","Conor Gillaspie_SF","Ryan Hanigan_COL","Eric Fryer_STL","Brock Stassi_PHI","Jorge Alfaro_PHI","Roman Quinn_PHI","Gift Ngoepe_PIT","Brian Anderson_MIA","Jesus Sucre_TB","Jaycob Brugman_OAK","Willy Adames_TB","Shane Robinson_LAA","Juan Graterol_LAA","Kyle Tucker_HOU","Jabari Blash_SD","Jose Pirela_SD","Luis Urias_SD","Justin Ruggiano_SF","Dominic Smith_NYM","Andres Blanco_PHI","Nick Williams_PHI","Miguel Rojas_MIA","Jacob Stallings_PIT","Max Moroff_PIT","Renato Nunez_OAK","Carlos Perez_LAA","Colin Moran_HOU","Hector Sanchez_SD","Ramon Torres_KC","Michael Morse_SF","Chris Gimenez_MIN","Daniel Palka_MIN","Austin Slater_SF","Nick Gordon_MIN","Anthony Recker_ATL","Travis Demeritte_ATL","Ronald Acuna_ATL","Mark Zagunis_CHC","Eloy Jimenez_CHC","Chad Huffman_STL","Cameron Rupp_PHI","Scott Kingery_PHI","Chris Stewart_PIT","John Bormann_PIT","Michael Martinez_TB","Joey Wendle_OAK","Franklin Barreto_OAK","Casey Gillaspie_TB","Matt Chapman_OAK","Juan Centeno_HOU","Teoscar Hernandez_HOU","Tony Kemp_HOU","Alcides Escobar_KC","Drew Butera_KC","Jose Rondon_SD","Hunter Dozier_KC","Tim Federowicz_SF","Ehire Adrianza_MIN","Orlando Calixte_SF","Emilio Bonifacio_ATL","Ty Kelly_PHI","Adam Rosales_OAK","Shane Peterson_TB","Cliff Pennington_LAA","Lane Adams_ATL","Johan Camargo_ATL","Jaff Decker_OAK","Matt Olson_OAK","David Fletcher_LAA","Carlos Asuaje_SD","Luis Torrens_SD","Chris Marrero_SF"
0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,46,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,46,0,0,0,52,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,16,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,31,30,0,34,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,34,40,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,34,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,15,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,46,56,0,0,0,0,0,0,0,0,47,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,39,0,0,0,42,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,40,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,34,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,12,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,42,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,11,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,39,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,33,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,12,0,0,0,0,0
0,42,43,0,46,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,23,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,43,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,29,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,49,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,49,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,33,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,9,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
